test_id,angle,distance,sample_index,register_value
0,30,20.0,0,0.02278907469714285
0,30,20.0,1,0.02278907469714285
0,30,20.0,2,0.02278907469714285
0,30,20.0,3,0.02278907469714285
0,30,20.0,4,0.02278907469714285
0,30,20.0,5,0.02278907469714285
0,30,20.0,6,0.02278907469714285
0,30,20.0,7,0.02278907469714285
0,30,20.0,8,0.02278907469714285
0,30,20.0,9,0.02278907469714285
1,50,20.0,0,0.018750548292051385
1,50,20.0,1,0.018750548292051385
1,50,20.0,2,0.018750548292051385
1,50,20.0,3,0.018750548292051385
1,50,20.0,4,0.018750548292051385
1,50,20.0,5,0.018750548292051385
1,50,20.0,6,0.018750548292051385
1,50,20.0,7,0.018750548292051385
1,50,20.0,8,0.018750548292051385
1,50,20.0,9,0.018750548292051385
2,70,20.0,0,0.012277713363307081
2,70,20.0,1,0.012277713363307081
2,70,20.0,2,0.012277713363307081
2,70,20.0,3,0.012277713363307081
2,70,20.0,4,0.012277713363307081
2,70,20.0,5,0.012277713363307081
2,70,20.0,6,0.012277713363307081
2,70,20.0,7,0.012277713363307081
2,70,20.0,8,0.012277713363307081
2,70,20.0,9,0.012277713363307081
3,90,20.0,0,0.0002483653139603537
3,90,20.0,1,0.0002483653139603537
3,90,20.0,2,0.0002483653139603537
3,90,20.0,3,0.0002483653139603537
3,90,20.0,4,0.0002483653139603537
3,90,20.0,5,0.0002483653139603537
3,90,20.0,6,0.0002483653139603537
3,90,20.0,7,0.0002483653139603537
3,90,20.0,8,0.0002483653139603537
3,90,20.0,9,0.0002483653139603537
4,110,20.0,0,0.0010280602102288273
4,110,20.0,1,0.0010280602102288273
4,110,20.0,2,0.0010280602102288273
4,110,20.0,3,0.0010280602102288273
4,110,20.0,4,0.0010280602102288273
4,110,20.0,5,0.0010280602102288273
4,110,20.0,6,0.0010280602102288273
4,110,20.0,7,0.0010280602102288273
4,110,20.0,8,0.0010280602102288273
4,110,20.0,9,0.0010280602102288273
