test_id,angle,distance,sample_index,register_value
0,30,20.0,0,0.022581569431095648
0,30,20.0,1,0.022581569431095648
0,30,20.0,2,0.022581569431095648
0,30,20.0,3,0.022581569431095648
0,30,20.0,4,0.022581569431095648
0,30,20.0,5,0.022581569431095648
0,30,20.0,6,0.022581569431095648
0,30,20.0,7,0.022581569431095648
0,30,20.0,8,0.022581569431095648
0,30,20.0,9,0.022581569431095648
1,60,20.0,0,0.015620722826589575
1,60,20.0,1,0.015620722826589575
1,60,20.0,2,0.015620722826589575
1,60,20.0,3,0.015620722826589575
1,60,20.0,4,0.015620722826589575
1,60,20.0,5,0.015620722826589575
1,60,20.0,6,0.015620722826589575
1,60,20.0,7,0.015620722826589575
1,60,20.0,8,0.015620722826589575
1,60,20.0,9,0.015620722826589575
2,90,20.0,0,0.00025004573524501375
2,90,20.0,1,0.00025004573524501375
2,90,20.0,2,0.00025004573524501375
2,90,20.0,3,0.00025004573524501375
2,90,20.0,4,0.00025004573524501375
2,90,20.0,5,0.00025004573524501375
2,90,20.0,6,0.00025004573524501375
2,90,20.0,7,0.00025004573524501375
2,90,20.0,8,0.00025004573524501375
2,90,20.0,9,0.00025004573524501375
3,120,20.0,0,0.0010853776135523263
3,120,20.0,1,0.0010853776135523263
3,120,20.0,2,0.0010853776135523263
3,120,20.0,3,0.0010853776135523263
3,120,20.0,4,0.0010853776135523263
3,120,20.0,5,0.0010853776135523263
3,120,20.0,6,0.0010853776135523263
3,120,20.0,7,0.0010853776135523263
3,120,20.0,8,0.0010853776135523263
3,120,20.0,9,0.0010853776135523263
